Code,Name,Price
0700024,Druckrohr PE40 12 mm 100 m 1,5 mm  (12 mm),0,61
0700000,Druckrohr PE40 12 mm 100 m 1,5 mm  (16 mm),0,58
0700001,Druckrohr PE40 12 mm 100 m 1,5 mm  (16 mm),0,51
0700003,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,72
0700004,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,67
0700005,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,73
0700006,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,63
0700007,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,74
0700016,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,74
0700008,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,79
0700009,Druckrohr PE40 12 mm 100 m 1,5 mm  (20 mm),0,78
0700011,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),0,88
0700012,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),0,85
0700027,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),0,99
0700013,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),1,05
0700014,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),1,08
0700015,Druckrohr PE40 12 mm 100 m 1,5 mm  (25 mm),0,93
7024425,Druckrohr PE40 12 mm 100 m 1,5 mm  (32 mm),1,46
7024426,Druckrohr PE40 12 mm 100 m 1,5 mm  (32 mm),1,36
0700018,Druckrohr PE40 12 mm 100 m 1,5 mm  (32 mm),1,58
0700026,Druckrohr PE40 12 mm 100 m 1,5 mm  (32 mm),1,68
7011815,Druckrohr PE40 12 mm 100 m 1,5 mm  (32 mm),1,86
7024625,Druckrohr PE40 12 mm 100 m 1,5 mm  (40 mm),2,11
0700019,Druckrohr PE40 12 mm 100 m 1,5 mm  (40 mm),2,35
7011816,Druckrohr PE40 12 mm 100 m 1,5 mm  (40 mm),2,63
0700020,Druckrohr PE40 12 mm 100 m 1,5 mm  (50 mm),3,65
7011817,Druckrohr PE40 12 mm 100 m 1,5 mm  (50 mm),4,10
0700021,Druckrohr PE40 12 mm 100 m 1,5 mm  (63 mm),6,67
7011818,Druckrohr PE40 12 mm 100 m 1,5 mm  (63 mm),7,29
0121274,Rohrclipse für Tropfrohre 16 mm  (16 mm),0,06
0121276,Rohrclipse für Tropfrohre 16 mm  (25 mm),0,24
0121277,Rohrclipse für Tropfrohre 16 mm  (32 mm),0,28
7024419,Druckrohr PE40 5 mm 500 m 0,8 mm  (5 mm),0,20
7024420,Druckrohr PE40 5 mm 500 m 0,8 mm  (7 mm),0,43
7024421,Druckrohr PE40 5 mm 500 m 0,8 mm  (8 mm),0,43
0700141,Druckrohr PE40 5 mm 500 m 0,8 mm  (10 mm),0,69
7024422,Druckrohr PE40 5 mm 500 m 0,8 mm  (12 mm),0,59
7027530,Schlauchverbinder 16 mm  (16 mm),0,08
7027531,Schlauchverbinder 16 mm  (20 mm),0,11
7027532,Schlauchverbinder 16 mm  (25 mm),0,22
7027533,Schlauchverbinder 16 mm  (32 mm),0,40
7020599,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Weiß),0,60
7020669,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Weiß),0,65
7020670,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Weiß),0,69
7020600,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Braun),0,60
7020601,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Braun),0,65
7020602,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Braun),0,69
7020671,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Schwarz),0,64
7020672,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Schwarz),0,65
7020689,NaanDanJain Tropfersatz Weiß 1.3 ltr/h 50 cm  (Schwarz),0,69
7027534,Winkel 90° 16 mm  (16 mm),0,19
7027535,Winkel 90° 16 mm  (20 mm),0,29
7027536,Winkel 90° 16 mm  (25 mm),1,21
7027537,Winkel 90° 16 mm  (32 mm),1,21
7020604,NaanDanJain Tropfer 1.3 ltr/h  (1.3 ltr/h),0,23
7020605,NaanDanJain Tropfer 1.3 ltr/h  (2 ltr/h),0,23
7020709,NaanDanJain Tropfer 1.3 ltr/h  (4 ltr/h),0,25
7026373,Rohrleitungshalter 16 mm Schwarz  (16 mm),0,32
7031973,Rohrleitungshalter 16 mm Schwarz  (16-20 mm),0,23
7031974,Rohrleitungshalter 16 mm Schwarz  (16 mm),0,25
7031975,Rohrleitungshalter 16 mm Schwarz  (20 mm),0,17
7027560,Stopfen 16 mm  (16 mm),0,08
7027561,Stopfen 16 mm  (20 mm),0,08
7027562,Stopfen 16 mm  (25 mm),0,40
0691006,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),1,32
0691007,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),1,26
7020721,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),0,69
0691012,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),0,81
7026163,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),0,70
7020578,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),0,48
7020579,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (16 mm),0,48
7020732,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,97
7020733,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,77
7020734,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,72
7020735,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,69
7020736,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,62
7026162,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,98
7020589,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,72
7020590,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,62
7020742,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),1,56
7020743,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),1,17
7020744,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),1,12
7020745,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),1,04
7020746,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,97
7020591,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,86
7020592,NaanDanJain Tropfschlauch, Typ PC 1,6 l/h 16 mm 25 cm 1,0 mm  (20 mm),0,77
7027538,T-Stück 90° 16 mm  (16 mm),0,25
7027539,T-Stück 90° 16 mm  (20 mm),0,36
7027540,T-Stück 90° 16 mm  (25 mm),0,36
7027544,T-Stück 90° 16 mm x 20 mm x 16 mm  (16 mm x 20 mm x 16 mm),0,25
7027545,T-Stück 90° 16 mm x 20 mm x 16 mm  (20 mm x 16 mm x 20 mm),0,29
7027546,T-Stück 90° 16 mm x 20 mm x 16 mm  (25 mm x 16 mm x 25 mm),0,36
7027547,T-Stück 90° 16 mm x 20 mm x 16 mm  (25 mm x 20 mm x 25 mm),0,36
